name,Design capacity 2000/a,Design capacity 2005/a,Percent of design capacity occupied 2000,Percent of design capacity occupied 2005,Rated capacity 2000,Rated capacity 2005,Percent of rated capacity occupied 2000,Percent of rated capacity occupied 2005,Total_18,Male_18,Female_18,Total_19,Male_19,Female_19,Total number of facilities,Facilities operating one or more work programs,Inmates participating in one or more work programs,Prison industries,Support services,Farming ,Public works,Other work programs ,No work programs,phone_rate_avg,Latitude,Longitude
Missouri,25370.0,26153.0,110.0,121.0,29815.0,32401.0,94.0,98.0,30369.0,27255.0,3114.0,26044.0,23643.0,2401.0,28.0,23.0,23769.0,13.0,21.0,2.0,16.0,7.0,3.0,1.75,38.25,-92.5
Montana,1930.0,2332.0,123.0,136.0,2436.0,3118.0,97.0,101.0,3765.0,3318.0,447.0,4723.0,4175.0,548.0,11.0,9.0,1669.0,1.0,5.0,1.0,1.0,6.0,2.0,2.04,47.0,-109.75
Nebraska,2303.0,3115.0,152.0,140.0,3419.0,3419.0,103.0,0.0,5491.0,5061.0,430.0,5682.0,5254.0,428.0,9.0,9.0,870.0,6.0,8.0,1.0,3.0,2.0,0.0,1.14,41.5,-99.75
Nevada,9055.0,11082.0,103.0,106.0,9683.0,12191.0,96.0,96.0,13641.0,12349.0,1292.0,12840.0,11601.0,1239.0,22.0,21.0,6126.0,10.0,16.0,2.0,11.0,11.0,0.0,2.53,39.25,-116.75
New Hampshire,2203.0,2402.0,103.0,99.0,2000.0,2177.0,114.0,109.0,2722.0,2491.0,231.0,2691.0,2463.0,228.0,8.0,8.0,1402.0,2.0,5.0,3.0,6.0,5.0,0.0,1.19,43.66,-71.49
New Jersey,20861.0,18131.0,130.0,142.0,26979.0,26024.0,101.0,99.0,19362.0,18592.0,770.0,18613.0,17912.0,701.0,42.0,33.0,20823.0,13.0,23.0,8.0,16.0,15.0,3.0,1.73,40.16,-74.49
New Mexico,5905.0,6035.0,87.0,119.0,6071.0,7357.0,85.0,98.0,7030.0,6256.0,774.0,6723.0,6046.0,677.0,11.0,9.0,3131.0,6.0,8.0,0.0,5.0,1.0,0.0,0.79,34.5,-106.0
New York,55299.0,57705.0,130.0,111.0,69014.0,63458.0,104.0,101.0,46636.0,44544.0,2092.0,43500.0,41572.0,1928.0,77.0,72.0,30738.0,20.0,69.0,13.0,31.0,7.0,1.0,0.72,43.0,-75.49
North Carolina,31810.0,36832.0,97.0,104.0,33759.0,40084.0,91.0,95.0,34899.0,32171.0,2728.0,34079.0,31398.0,2681.0,88.0,82.0,20502.0,21.0,77.0,4.0,56.0,13.0,1.0,2.45,35.5,-80.0
North Dakota,390.0,1455.0,254.0,97.0,907.0,1455.0,109.0,97.0,1695.0,1499.0,196.0,1794.0,1585.0,209.0,8.0,6.0,796.0,4.0,5.0,0.0,0.0,1.0,2.0,4.85,47.5,-100.0
Ohio,30506.0,30506.0,157.0,0.0,40707.0,36561.0,118.0,122.0,50431.0,46153.0,4278.0,50338.0,46072.0,4266.0,59.0,44.0,34510.0,17.0,36.0,9.0,22.0,18.0,10.0,2.03,40.25,-83.0
Oklahoma,22656.0,23399.0,105.0,107.0,25062.0,26163.0,95.0,96.0,26956.0,23860.0,3096.0,25679.0,23009.0,2670.0,53.0,52.0,18201.0,13.0,42.0,14.0,35.0,10.0,1.0,3.0,35.5,-97.5
Oregon,10193.0,12302.0,97.0,106.0,11381.0,13562.0,87.0,96.0,15268.0,14022.0,1246.0,14961.0,13740.0,1221.0,15.0,14.0,4954.0,7.0,13.0,3.0,10.0,2.0,1.0,2.4,44.0,-120.5
Pennsylvania,26357.0,38518.0,140.0,112.0,26402.0,40098.0,140.0,108.0,47239.0,44305.0,2934.0,45702.0,42886.0,2816.0,52.0,26.0,26476.0,19.0,26.0,0.0,26.0,0.0,16.0,2.23,40.86,-77.9
Rhode Island,3857.0,4054.0,87.0,84.0,3719.0,3861.0,90.0,88.0,2767.0,2613.0,154.0,2740.0,2583.0,157.0,7.0,7.0,1663.0,3.0,7.0,0.0,2.0,2.0,0.0,0.7,41.5,-71.4757
