"","Facility","Name","State","Date","Residents.Confirmed","Staff.Confirmed","Resident.Deaths","Staff.Deaths","Residents.Recovered","Staff.Recovered","Residents.Tested","Staff.Tested","Residents.Pending","Staff.Pending","Residents.Negative","Staff.Negative","Residents.Quarantine","Staff.Quarantine","hifld_id","Count.ID","Population_HIFLD","Population.Source"
"51","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-01,NA,"30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"52","Prison","STATEWIDE","Arkansas",2020-05-02,"860","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"53","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-02,NA,"30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"54","Prison","STATEWIDE","Arkansas",2020-05-03,"860","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"55","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-03,NA,"30","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"56","Prison","STATEWIDE","Arkansas",2020-05-04,"860","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"57","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-04,NA,"30","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"58","Prison","STATEWIDE","Arkansas",2020-05-05,"860","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"59","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-05,NA,"30","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"60","Prison","STATEWIDE","Arkansas",2020-05-06,"868","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"61","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-06,NA,"30","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"62","Prison","STATEWIDE","Arkansas",2020-05-07,"868","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"63","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-07,NA,"30","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"64","Prison","STATEWIDE","Arkansas",2020-05-08,"868","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"65","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-08,NA,"30","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"66","Prison","STATEWIDE","Arkansas",2020-05-09,"868","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"67","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-09,NA,"30","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"68","Prison","STATEWIDE","Arkansas",2020-05-10,"868","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"69","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-10,NA,"30","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"70","Prison","STATEWIDE","Arkansas",2020-05-11,"868","34","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"71","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-11,NA,"30","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"72","Prison","STATEWIDE","Arkansas",2020-05-12,"1056","51","0",NA,"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"73","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-12,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"74","Prison","STATEWIDE","Arkansas",2020-05-13,"1056","51","0",NA,"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"75","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-13,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"76","Prison","STATEWIDE","Arkansas",2020-05-14,"1056","51","0",NA,"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"77","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-14,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"78","Prison","STATEWIDE","Arkansas",2020-05-15,"1056","51","0",NA,"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"79","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-15,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"80","Prison","STATEWIDE","Arkansas",2020-05-16,"1056","51","0",NA,"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"81","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-16,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"82","Prison","STATEWIDE","Arkansas",2020-05-17,"1056","51","0",NA,"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"83","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-17,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"84","Prison","STATEWIDE","Arkansas",2020-05-18,"1056","51","0",NA,"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"85","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-18,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"86","Prison","STATEWIDE","Arkansas",2020-05-19,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"87","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-19,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"88","Prison","STATEWIDE","Arkansas",2020-05-20,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"89","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-20,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"90","Prison","STATEWIDE","Arkansas",2020-05-21,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"91","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-21,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"92","Prison","STATEWIDE","Arkansas",2020-05-22,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"93","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-22,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"94","Prison","STATEWIDE","Arkansas",2020-05-23,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"95","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-23,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"96","Prison","STATEWIDE","Arkansas",2020-05-24,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"97","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-24,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"98","Prison","STATEWIDE","Arkansas",2020-05-25,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"99","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-25,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"100","Prison","STATEWIDE","Arkansas",2020-05-26,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"101","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-26,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"102","Prison","STATEWIDE","Arkansas",2020-05-27,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"103","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-27,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"104","Prison","STATEWIDE","Arkansas",2020-05-28,"1246","30","0",NA,"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"105","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-28,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"106","Prison","STATEWIDE","Arkansas",2020-05-29,"1251","30","0",NA,"1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"107","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-29,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"108","Prison","STATEWIDE","Arkansas",2020-05-30,"1251","30","0",NA,"1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"109","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-30,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"110","Prison","STATEWIDE","Arkansas",2020-05-31,"1251","30","0",NA,"1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"111","Prison","CUMMINS UNIT PRISON","Arkansas",2020-05-31,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"112","Prison","STATEWIDE","Arkansas",2020-06-01,"1251","30","0",NA,"1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"113","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-01,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"114","Prison","STATEWIDE","Arkansas",2020-06-02,"1251","30","0",NA,"1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"115","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-02,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"116","Prison","STATEWIDE","Arkansas",2020-06-03,"1251","17","0",NA,"1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"117","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-03,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"118","Prison","STATEWIDE","Arkansas",2020-06-04,"1251","17","0",NA,"1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"119","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-04,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"120","Prison","STATEWIDE","Arkansas",2020-06-05,"1251","17","0",NA,"1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"121","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-05,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"122","Prison","STATEWIDE","Arkansas",2020-06-06,"1248","17","0",NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"123","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-06,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"124","Prison","STATEWIDE","Arkansas",2020-06-07,"1248","17","0",NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"125","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-07,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"126","Prison","STATEWIDE","Arkansas",2020-06-08,"1248","17","0",NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"127","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-08,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"128","Prison","STATEWIDE","Arkansas",2020-06-09,"1277","19","0",NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"129","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-09,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"130","Prison","STATEWIDE","Arkansas",2020-06-10,"1277","19","0",NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
"131","Prison","CUMMINS UNIT PRISON","Arkansas",2020-06-10,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000085,56,1899,"HIFLD Prison Dataset"
"132","Prison","STATEWIDE","Arkansas",2020-06-11,"1277","19","0",NA,"1234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,"HIFLD Prison Dataset"
